date,year,quarter,month_number,month_name,year_month,week,day_name,is_weekend
2010-11-19,2010,Q4,11,Nov,2010-11,46,Fri,False
2010-11-20,2010,Q4,11,Nov,2010-11,46,Sat,True
2010-11-21,2010,Q4,11,Nov,2010-11,46,Sun,True
2010-11-22,2010,Q4,11,Nov,2010-11,47,Mon,False
2010-11-23,2010,Q4,11,Nov,2010-11,47,Tue,False
2010-11-24,2010,Q4,11,Nov,2010-11,47,Wed,False
2010-11-25,2010,Q4,11,Nov,2010-11,47,Thu,False
2010-11-26,2010,Q4,11,Nov,2010-11,47,Fri,False
2010-11-27,2010,Q4,11,Nov,2010-11,47,Sat,True
2010-11-28,2010,Q4,11,Nov,2010-11,47,Sun,True
2010-11-29,2010,Q4,11,Nov,2010-11,48,Mon,False
2010-11-30,2010,Q4,11,Nov,2010-11,48,Tue,False
2010-12-01,2010,Q4,12,Dec,2010-12,48,Wed,False
2010-12-02,2010,Q4,12,Dec,2010-12,48,Thu,False
2010-12-03,2010,Q4,12,Dec,2010-12,48,Fri,False
2010-12-04,2010,Q4,12,Dec,2010-12,48,Sat,True
2010-12-05,2010,Q4,12,Dec,2010-12,48,Sun,True
2010-12-06,2010,Q4,12,Dec,2010-12,49,Mon,False
2010-12-07,2010,Q4,12,Dec,2010-12,49,Tue,False
2010-12-08,2010,Q4,12,Dec,2010-12,49,Wed,False
2010-12-09,2010,Q4,12,Dec,2010-12,49,Thu,False
2010-12-10,2010,Q4,12,Dec,2010-12,49,Fri,False
2010-12-11,2010,Q4,12,Dec,2010-12,49,Sat,True
2010-12-12,2010,Q4,12,Dec,2010-12,49,Sun,True
2010-12-13,2010,Q4,12,Dec,2010-12,50,Mon,False
2010-12-14,2010,Q4,12,Dec,2010-12,50,Tue,False
2010-12-15,2010,Q4,12,Dec,2010-12,50,Wed,False
2010-12-16,2010,Q4,12,Dec,2010-12,50,Thu,False
2010-12-17,2010,Q4,12,Dec,2010-12,50,Fri,False
2010-12-18,2010,Q4,12,Dec,2010-12,50,Sat,True
2010-12-19,2010,Q4,12,Dec,2010-12,50,Sun,True
2010-12-20,2010,Q4,12,Dec,2010-12,51,Mon,False
2010-12-21,2010,Q4,12,Dec,2010-12,51,Tue,False
2010-12-22,2010,Q4,12,Dec,2010-12,51,Wed,False
2010-12-23,2010,Q4,12,Dec,2010-12,51,Thu,False
2010-12-24,2010,Q4,12,Dec,2010-12,51,Fri,False
2010-12-25,2010,Q4,12,Dec,2010-12,51,Sat,True
2010-12-26,2010,Q4,12,Dec,2010-12,51,Sun,True
2010-12-27,2010,Q4,12,Dec,2010-12,52,Mon,False
2010-12-28,2010,Q4,12,Dec,2010-12,52,Tue,False
2010-12-29,2010,Q4,12,Dec,2010-12,52,Wed,False
2010-12-30,2010,Q4,12,Dec,2010-12,52,Thu,False
2010-12-31,2010,Q4,12,Dec,2010-12,52,Fri,False
2011-01-01,2011,Q1,1,Jan,2011-01,52,Sat,True
2011-01-02,2011,Q1,1,Jan,2011-01,52,Sun,True
2011-01-03,2011,Q1,1,Jan,2011-01,1,Mon,False
2011-01-04,2011,Q1,1,Jan,2011-01,1,Tue,False
2011-01-05,2011,Q1,1,Jan,2011-01,1,Wed,False
2011-01-06,2011,Q1,1,Jan,2011-01,1,Thu,False
2011-01-07,2011,Q1,1,Jan,2011-01,1,Fri,False
2011-01-08,2011,Q1,1,Jan,2011-01,1,Sat,True
2011-01-09,2011,Q1,1,Jan,2011-01,1,Sun,True
2011-01-10,2011,Q1,1,Jan,2011-01,2,Mon,False
2011-01-11,2011,Q1,1,Jan,2011-01,2,Tue,False
2011-01-12,2011,Q1,1,Jan,2011-01,2,Wed,False
2011-01-13,2011,Q1,1,Jan,2011-01,2,Thu,False
2011-01-14,2011,Q1,1,Jan,2011-01,2,Fri,False
2011-01-15,2011,Q1,1,Jan,2011-01,2,Sat,True
2011-01-16,2011,Q1,1,Jan,2011-01,2,Sun,True
2011-01-17,2011,Q1,1,Jan,2011-01,3,Mon,False
2011-01-18,2011,Q1,1,Jan,2011-01,3,Tue,False
2011-01-19,2011,Q1,1,Jan,2011-01,3,Wed,False
2011-01-20,2011,Q1,1,Jan,2011-01,3,Thu,False
2011-01-21,2011,Q1,1,Jan,2011-01,3,Fri,False
2011-01-22,2011,Q1,1,Jan,2011-01,3,Sat,True
2011-01-23,2011,Q1,1,Jan,2011-01,3,Sun,True
2011-01-24,2011,Q1,1,Jan,2011-01,4,Mon,False
